,,,,,,,X1,X2,X3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,475.2,477.86,477.93,477.93,,,,,,,,,,,,,,,,,,,,,478,,,
,,,,,2,513.7,513.32,513.58,513.58,,,,,,,,,,,,,,,,,,,,,513.4,513.5,513.5,513.5
,,,,,3,529.7,529.53,529.28,529.28,,,,,,,,,,,,,,,,,,,,,529.4,530,530,530
,,,,,4,572.7,572.6,572.34,572.34,,,,,,,,,,,,,,,,,,,,,572.4,573,573,573
,,,,,5,585.7,585.28,585.51,585.51,,,,,,,,,,,,,,,,,,,,,585.3,585.5,585.5,585.5
,,,,,6,684.9,684.55,684.3,684.3,,,,,,,,,,,,,,,,,,,,,684.4,684.5,684.5,684.5
,,,,,7,738.5,738.63,738.52,738.52,,,,,,,,,,,,,,,,,,,,,738.5,739.5,739.5,739.5
,,,,,8,748,747.87,747.79,747.78,,,,,,,,,,,,,,,,,,,,,747.7,748,748,748
,,,,,9,806.1,806.49,806.35,806.35,,,,,,,,,,,,,,,,,,,,,806.3,807.5,807.5,807.5
,,,,,*) Measured at 25°C and with spectral bandwidth 1 nm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2. Absorbans or Transmitan Calibration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"(Cuvet Size : 10 mm, at λ : 560 nm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,λ (nm),Neutral Gas Filter (%T),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Std Value ,Measurement Result,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,X1,X2,X3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,560,0,0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9.9,9.668,9.661,9.666,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9.668,9.661,9.666,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,19.531,19.525,19.534,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19.531,19.525,19.534,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30.1,29.25,29.249,29.249,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29.25,29.249,29.249,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,100.004,100.003,100.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,100.004,100.003,100.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date  :,,2023-07-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calculated by,,,Signed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name:,3,,Name:,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
