 ,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Temperature (UTemperature),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Refractometer,,,,,a.,U95% Thermometer Certificate (oC),,,,,,,b.,U95% Sensor Certificate (oC),,,,,,c.,Utemp. (oC),,,:,0.03935733730830886,,,,,,,,,
,Ketidakpastian Estimasi Standard Sukrosa,,,,,,,n20D,,rect.,,,0,,,1.7320508075688772,,50,,0,,,1,,0,,,0,,,,0,,,,,,,,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,n20D,,rect.,,,5e-05,,,1.7320508075688772,,50,,2.8867513459481293e-05,,,1,,2.8867513459481293e-05,,,8.333333333333336e-10,,,,1.3888888888888897e-20,,,,,,,,,,,,
,Ketidakpastian Temperature,,,,,,,n20D,,rect.,,,-0.00045000000000006146,,,1.7320508075688772,,50,,-0.00025980762113536707,,,1,,-0.00025980762113536707,,,6.750000000001844e-08,,,,9.112500000004979e-17,,,,,,,,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,n20D,,t-student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,,,,,,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0348958333335178e-07,,,,1.1173825412331367e-16,,,,,,,,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.000321697969115989,,,,,,,,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,95.84984070622019,,,,,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9852510035054973,,,,,,,,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006386512160131976,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,0.0006386512160131976,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,0.0006386512160131976,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL BUDGET KETIDAKPASTIAN INSTRUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,PH Meter,,,,,,,,,,U95% Standar :,,,,,0,n20D,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,1.7,,n20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca,,,,,,,,:,0.0001,,n20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,n20D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,,,,,,,,
,Ketidakpastian Baku Berat dari Sukrosa,,,,,,,n20D,,normal,,,0.000375,,,2,,60,,0.0001875,,,1,,0.0001875,,,3.515625e-08,,,,2.0599365234375002e-17,,,,,,,,,,,,
,Ketidakpastian Estimasi Standard Sukrosa,,,,,,,n20D,,rect.,,,0,,,1.7320508075688772,,50,,0,,,1,,0,,,0,,,,0,,,,,,,,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,n20D,,rect.,,,5e-05,,,1.7320508075688772,,50,,2.8867513459481293e-05,,,1,,2.8867513459481293e-05,,,8.333333333333336e-10,,,,1.3888888888888897e-20,,,,,,,,,,,,
,Ketidakpastian Temperature,,,,,,,n20D,,rect.,,,-0.00045000000000006146,,,1.7320508075688772,,50,,-0.00025980762113536707,,,1,,-0.00025980762113536707,,,6.750000000001844e-08,,,,9.112500000004979e-17,,,,,,,,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,n20D,,t-student,,,#DIV/0!,,,5,,4,,#DIV/0!,,,1,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,#DIV/0!,,,,n20D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,#DIV/0!,,,,n20D,,,,,,,,,,,,
