ref,nama,alamat,kota,provinsi
jbk-57,PT. Blu Box Farnaz (Muara Tirta Boga),"Jl. Jababeka VIIC Blok R 1 K, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-58,PT. BOC Gases Indonesia,"Jl. Jababeka XVI Blok V 67, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-59,PT. Borobudur Agung Perkasa,"Jl. Jababeka III Blok C 181, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-60,PT. Brataco Chemical,"Jl. Jababeka XIVA Blok J 5 H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-61,PT. Bridor Indonesia (Sierad Pangan Nusantara),"Jl. Jababeka XVIIA Blok V 83 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-62,PT. Brugmann Indonesia,"Jl. Jababeka VIA Blok J 6 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-63,"PT. BS Indonesia (Taebong Elc, PT)","Jl. Jababeka X Blok F 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-64,PT. Budi Daya Remaja,"Jl. Jababeka IIE Blok C 15 N, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-65,"PT. Budi Surya Teknik, qq","Jl. Industri Selatan 1 A Blok NN 3 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-66,"PT. Budi Witjaksono, Bp","Jl. Industri Utama 1 Blok GG 5 D, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-67,PT. Bukit Baja Nusantara,"Jl. Jababeka XVI Blok W 42-43, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-68,PT. Bumi Cikarang Steel Industries,"Jl. Jababeka XVI Blok U 7, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-69,PT. Bumi Kaya Steel Industries,"Jl. Jababeka VI Blok M 1-6, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-70,PT. Bumi Mulia Indah Lestari,"Jl. Jababeka XVI Blok V 65 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-71,PT. Bumi Polimas Industries,"Jl. Jababeka XIV Blok J 12 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-72,PT. Bumi Polymas Industries,"Jl. Jababeka XIV Blok J 12 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-73,PT. Bumia Biofac Indonesia,"Jl. Jababeka XVI Blok V 39-40, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-74,PT. Bumiraya Megaprima,"Jl. Jababeka IIIH Blok C 17 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
