 COMMON DATA ,,,,,,,,,,,,,,,SPECIFIC DATA,,,,,,,,,,,,Reminder Recalibration,,,TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,Analog,2,year,730
,,,,,,,,,,,,,,,,No,Jenis UTM,CMC (pH),,,,,,,,,Digital,1,year,365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,
,,,,,,,,,,,,,,,,1,4 pH,0.023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7 pH,0.021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,10 pH,0.031,,,,,,,,,,,,
12,Kelistrikan,SIDIK-IK-CAL-0512_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gaya (UTM),SIDIK-IK-CAL-0513_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Load Cell & Proving Ring,SIDIK-IK-CAL-0514_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikrometer,SIDIK-IK-CAL-0515_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Refractometer,SIDIK-IK-CAL-0516_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Viscometer,SIDIK-IK-CAL-0517_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thermohygro,SIDIK-IK-CAL-0518_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dial Indicator,SIDIK-IK-CAL-0519_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jangka Sorong (Caliper),SIDIK-IK-CAL-0520_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Verifikasi Metode Kerja Kalibrasi,SIDIK-IK-CAL-0521_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Micropipette,Dispenser, & Piston Buret",SIDIK-IK-CAL-0522_Rev.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turbidy Meter,SIDIK-IK-CAL-0523_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chlorine Meter,SIDIK-IK-CAL-0524_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hydrometer,SIDIK-IK-CAL-0525_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sieve Mesh,SIDIK-IK-CAL-0526_Rev.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thermometer Glass,SIDIK-IK-CAL-0527_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Flowmeter,SIDIK-IK-CAL-0528_Rev.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thermocouple,SIDIK-IK-CAL-0529_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DO Meter,SIDIK-IK-CAL-0530_Rev.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Autoclave,SIDIK-IK-CAL-0531_Rev.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Differential Pressure,SIDIK-IK-CAL-0532_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pressure Transmitter,SIDIK-IK-CAL-0533_Rev.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Vacuum Gauge,SIDIK-IK-CAL-0534_Rev.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Validasi,Jabatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AM,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NR,Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS,Data Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,
