Budget Ketidakpastian Jangka Sorong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outside Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Componen,,,,,,,Satuan,Disrtribusi,u,,,Disivsor,,,vi,,,ui,,ci,,uici,,,(uici)2,,( uici )4/ vi,,,,,,,,,
,Perubahan suhu terhadap suhu acuan 200c,,,,,,,⁰C,rect.,0.25,,,1.7320508075688772,,,60,,,0.14433756729740646,,0.0019999979999994364,,0.000288674845919597,,,8.333316666670308e-08,,1.1574027777834189e-16,,,,,,,,,
,Selisih suhu Jangka Sorong dengan balok ukur,,,,,,,⁰C,rect.,0,,,1.7320508075688772,,,60,,,0,,0.0019999979999994364,,0,,,0,,0,,,,,,,,,
,Koefisien muai thermal,,,,,,,⁰C-1,rect.,2e-05,,,2.449489742783178,,,60,,,8.164965809277262e-06,,50,,0.0004082482904638631,,,1.6666666666666673e-07,,4.629629629629633e-16,,,,,,,,,
,Drift standard,,,,,,,mm,rect.,3.2499975e-05,,,1.7320508075688772,,,60,,,1.876386931490611e-05,,1,,1.876386931490611e-05,,,3.5208279166687513e-10,,2.0660382031323365e-21,,,,,,,,,
,Lapisan wringing,,,,,,,mm,rect.,7.071067811865477e-05,,,1.7320508075688772,,,60,,,4.082482904638631e-05,,1,,4.082482904638631e-05,,,1.6666666666666675e-09,,4.629629629629634e-20,,,,,,,,,
,Kesalahan Geometri,,,,,,,mm,rect.,0.0005,,,1.7320508075688772,,,60,,,0.0002886751345948129,,1,,0.0002886751345948129,,,8.333333333333334e-08,,1.1574074074074076e-16,,,,,,,,,
,Efek Mekanik,,,,,,,mm,rect.,0.0005,,,1.7320508075688772,,,60,,,0.0002886751345948129,,1,,0.0002886751345948129,,,8.333333333333334e-08,,1.1574074074074076e-16,,,,,,,,,
,Meja Rata (granite),,,,,,,mm,normal,0.0062,,,2,,,60,,,0.0031,,1,,0.0031,,,9.61e-06,,1.5392016666666666e-12,,,,,,,,,
,Sums,,,,,,,,,,,,,,,,,,,,,,,,,0.00021837764358279173,,1.5400593715394183e-12,,,,,,,,,
,"Ketidakpastian baku gabungan, uc",,,,,,,,,,,,,,,,,,,,,,,,,0.014777606151971696,,,,,,,,,,,
,"Derajat kebebasan efektif, neff",,,,,,,,,,,,,,,,,,,,,,,,,30965.55632728878,,,,,,,,,,,
,"Faktor cakupan, k-student’s untuk neff dan CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,1.9600405988582283,,,,,,,,,,,
,"Ketidak pastian bentangan, U = kuc",,,,,,,,,,,,,,,,,,,,,,,,,0.02896470801180164,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CMC,,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,U95% Sertif.,0.02896470801180164,,,,,mm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
