,,AVERAGE,,,,"20.6 [=IFERROR(AVERAGE(G49:G51),"""")]","20.6 [=IFERROR(AVERAGE(H49:H51),"""")]","20.7 [=IFERROR(AVERAGE(I49:I51),"""")]","[=IFERROR(AVERAGE(J49:J51),"""")]","[=IFERROR(AVERAGE(K49:K51),"""")]",20.7 [=MAX(G52:K52)],20.6 [=MIN(G52:K52)],,,,,,,,,π,= [=],Phi ,,,,,,3.14,Ketetapan,,,,,,,
,,,,,,72.6588 [='Tabel Surface Tension'!B9],72.6588 [='Tabel Surface Tension'!B10],72.64359999999999 [='Tabel Surface Tension'!B11],"[=IFERROR('Tabel Surface Tension'!B12,"""")]","[=IFERROR('Tabel Surface Tension'!B13,"""")]",72.6588 [=MAX(G53:K53)],72.64359999999999 [=MIN(G53:K53)],,,,,,,,,D,= [=],Diameter stem hydrometer (cm),,,,,,0.709 [='PERHITUNGAN (2)'!Q26],nilai ukuran D stem,,,,,,,
,,Density,,,,,,,,,,,,,,,,,,,,= [=],Tegangan permukaan hydrometer yg dikalibrasi (dyne/cm),,,,,,17.5 [=R80],TP pada spesifikasi alat hydrometer,,,,,,,
,,Point of Calibration,,,g/ml [=F33],0.61 [=G33],0.625 [=H33],0.65 [=I33],[=J33],[=K33],,,,,,,,,,,,= [=],Tegangan permukaan cairan (dyne/cm),,,,,,72.6588 [=G53],Tabel TP vs Suhu,,,,,,,
,,Density (g/ml),,,,0.9980761251005232 [=((999.8395639+(0.0679829989*G49)+(-0.009106025564*G49^2)+(0.0001005272999*G49^3)+(-0.000001126713526*G49^4)+(0.000000006591795606*G49^5))/1000)],0.9980761251005232 [=((999.8395639+(0.0679829989*H49)+(-0.009106025564*H49^2)+(0.0001005272999*H49^3)+(-0.000001126713526*H49^4)+(0.000000006591795606*H49^5))/1000)],0.9980548064013033 [=((999.8395639+(0.0679829989*I49)+(-0.009106025564*I49^2)+(0.0001005272999*I49^3)+(-0.000001126713526*I49^4)+(0.000000006591795606*I49^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J49)+(-0.009106025564*J49^2)+(0.0001005272999*J49^3)+(-0.000001126713526*J49^4)+(0.000000006591795606*J49^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K49)+(-0.009106025564*K49^2)+(0.0001005272999*K49^3)+(-0.000001126713526*K49^4)+(0.000000006591795606*K49^5))/1000)],,,,,,,,,,,,= [=],Gaya gravitasi (cms-2),,,,,,980.665 [=J90],Percepatan gravitasi bumi,,,,,,,
,,,,,,0.9980761251005232 [=((999.8395639+(0.0679829989*G50)+(-0.009106025564*G50^2)+(0.0001005272999*G50^3)+(-0.000001126713526*G50^4)+(0.000000006591795606*G50^5))/1000)],0.9980761251005232 [=((999.8395639+(0.0679829989*H50)+(-0.009106025564*H50^2)+(0.0001005272999*H50^3)+(-0.000001126713526*H50^4)+(0.000000006591795606*H50^5))/1000)],0.9980548064013033 [=((999.8395639+(0.0679829989*I50)+(-0.009106025564*I50^2)+(0.0001005272999*I50^3)+(-0.000001126713526*I50^4)+(0.000000006591795606*I50^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J50)+(-0.009106025564*J50^2)+(0.0001005272999*J50^3)+(-0.000001126713526*J50^4)+(0.000000006591795606*J50^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K50)+(-0.009106025564*K50^2)+(0.0001005272999*K50^3)+(-0.000001126713526*K50^4)+(0.000000006591795606*K50^5))/1000)],,,,,,,,,,,πDɣxg-1,= [=],,,,,,,0.03972768478532425 [=M74],,,,,,,,
,,,,,,0.9980761251005232 [=((999.8395639+(0.0679829989*G51)+(-0.009106025564*G51^2)+(0.0001005272999*G51^3)+(-0.000001126713526*G51^4)+(0.000000006591795606*G51^5))/1000)],0.9980761251005232 [=((999.8395639+(0.0679829989*H51)+(-0.009106025564*H51^2)+(0.0001005272999*H51^3)+(-0.000001126713526*H51^4)+(0.000000006591795606*H51^5))/1000)],0.9980548064013033 [=((999.8395639+(0.0679829989*I51)+(-0.009106025564*I51^2)+(0.0001005272999*I51^3)+(-0.000001126713526*I51^4)+(0.000000006591795606*I51^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*J51)+(-0.009106025564*J51^2)+(0.0001005272999*J51^3)+(-0.000001126713526*J51^4)+(0.000000006591795606*J51^5))/1000)],#VALUE! [=((999.8395639+(0.0679829989*K51)+(-0.009106025564*K51^2)+(0.0001005272999*K51^3)+(-0.000001126713526*K51^4)+(0.000000006591795606*K51^5))/1000)],Max. Density,,,,,,,,,, πDɣLg-1 ,= [=],,,,,,,0.1649466230445667 [=M75],,,,,,,,
,,AVERAGE,,,,"0.9980761251005233 [=IFERROR(AVERAGE(G56:G58),"""")]","0.9980761251005233 [=IFERROR(AVERAGE(H56:H58),"""")]","0.9980548064013033 [=IFERROR(AVERAGE(I56:I58),"""")]","[=IFERROR(AVERAGE(J56:J58),"""")]","[=IFERROR(AVERAGE(K56:K58),"""")]",0.9980761251005233 [=MAX(G59:K59)],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,
,,Density Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Point of Calibration,,,g/ml [=F40],0.61 [=G40],0.625 [=H40],0.65 [=I40],[=J40],[=K40],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Density (g/ml),,,,0.9978701346810679 [=((G56/($J$88*$J$85))-$J$87)],0.9978701346810679 [=((H56/($J$88*$J$85))-$J$87)],0.997848816109802 [=((I56/($J$88*$J$85))-$J$87)],#VALUE! [=((J56/($J$88*$J$85))-$J$87)],#VALUE! [=((K56/($J$88*$J$85))-$J$87)],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9978701346810679 [=((G57/($J$88*$J$85))-$J$87)],0.9978701346810679 [=((H57/($J$88*$J$85))-$J$87)],0.997848816109802 [=((I57/($J$88*$J$85))-$J$87)],#VALUE! [=((J57/($J$88*$J$85))-$J$87)],#VALUE! [=((K57/($J$88*$J$85))-$J$87)],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9978701346810679 [=((G58/($J$88*$J$85))-$J$87)],0.9978701346810679 [=((H58/($J$88*$J$85))-$J$87)],0.997848816109802 [=((I58/($J$88*$J$85))-$J$87)],#VALUE! [=((J58/($J$88*$J$85))-$J$87)],#VALUE! [=((K58/($J$88*$J$85))-$J$87)],Max. Density,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVERAGE,,,,"0.9978701346810679 [=IFERROR(AVERAGE(G63:G65),"""")]","0.9978701346810679 [=IFERROR(AVERAGE(H63:H65),"""")]","0.9978488161098019 [=IFERROR(AVERAGE(I63:I65),"""")]","[=IFERROR(AVERAGE(J63:J65),"""")]","[=IFERROR(AVERAGE(K63:K65),"""")]",0.9978701346810679 [=MAX(G66:K66)],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5. Penentuan nilai faktor koreksi densitas udara terhadap perubahan suhu,,,,,,,,,,,,,,,,
,,Nilai densitas hidrometer yang dikalibrasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,α,= [=],koefisien ekspansi volumetrik bahan (1/oC),,,,,,1e-05 [=AD37],Keofisien muai bahan (tabel),,,,,,,
,,,,,,,,,,,πDyxg-1,0.03972768478532425 [=($J$89*$R$79*$R$80)/$J$90],,,,,,,,,,= [=],Suhu aktual (oC),,,,,,20.6 [=G52],Suhu aktual udara lingkungan,,,,,,,
,,,,,,,,,,,πDylg-1,0.1649466230445667 [=($J$89*$R$79*$L$53)/$J$90],,,,,,,,,,= [=],Suhu acuan (oC),,,,,,20 [=E10],Suhu acuan udara lingkungan,,,,,,,
,,Data acuan,,:,,,,,,,,,,,,,,,,,,= [=],Densitas udara (g/cm3),,,,,,1.1016523357163883 [=((0.34848*$G$18)-(0.009*$G$16)*EXP(0.061*$G$15))/($G$15+273.15)],Ketetapan,,,,,,,
,,Tetapan-tetapan,,,,,,,,,Variabel hidrometer,,,,,,,,,,,= [=],,,,,,,1.000006 [=1+(AD73*(AD74-AD75))],,,,,,,,
,,,:,densitas udara saat timbang di udara,,,,,0.0011016523357163883 [=((0.34848*$G$18)-(0.009*$G$16)*EXP(0.061*$G$15))/($G$15+273.15)/1000],,,:,massa konvensional hidrometer saat timbang di udara,,,,39.927001033513 [=J80],g,,,,,,,,,,,,,,,,,,,
