Standar yang digunakan,,,:,Standard Name,,,Merk,Type,SN,,Alat bantu,,,Merk,Type,SN,,,,,,,,,,,,,,,,,,,
,,,,Timbangan Analitik,,,Fujitsu,FS-AR210,INS-N1600555,,Thermohygro,,,HTC,-,TH-3,,,,,,,,,,,,,,,,,,,
,,,,Digital Caliper,,,Tesa,Cal-IP67,LPI 0368,,Thermobarometer,,,Lutron,MHB372,AM02225,,,,,,,,,,,,,,,,,,,
,,,,Temperature Calibrator,,,Yokogawa,CA 150 Handy,23P1005,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Temperature Sensor,,,Tc-Limited,PRT-PT100,SH1/20,,,,,,,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Hydrometer [='INPUT DATA'!E10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas,,:,0.65 [=PERHITUNGAN!G8],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi,,:,0.0005 [=PERHITUNGAN!G9],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty of Calibrator (Standard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Water Destillate Weighing (U massa aqudest),,,,,,,2,Temperature (U Temperature),,,,,,,,,,,,,,,,,,,,,,,,,,
,a.,Utimb (g),= [=],,,,,,a.,U95% Thermometer Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,LOP atau read.,:,0.00074,,,,,,U95% Thermometer,,:,0.72,,,,,,,,,,,,,,,,,,,,,,
,,k atau 31/2,:,2,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,Utimb (g),= [=],0.00037 [=E29/E30],,,,,,Utemp. (oC),,= [=],0.36 [=N29/N30],,,,,,,,,,,,,,,,,,,,,,
,b.,Urepeat (g),= [=],,,,,,b.,U95% Sensor Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,stdev timb,:,0.0001,,,,,,U95% Sensor,,:,0.06,,,,,,,,,,,,,,,,,,,,,,
,,n,:,10,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,Density of Liquid Reference,g/ml [=$F$21],Normal,5e-05,2,60,2.5e-05 [=F67/G67],1,2.5e-05 [=I67*J67],6.25e-10 [=K67^2],6.5104166666666674e-21 [=(L67^2)/H67],,,,,,,,,,,,,,,,,,,,,,,
,,Density of Air,g/ml [=$F$21],Rectangular,0.00011016523357163884 [=10%*PERHITUNGAN!$J$78],3.4641016151377544 [=SQRT(12)],50,3.180196362896184e-05 [=F68/G68],1,3.180196362896184e-05 [=I68*J68],1.0113648906578116e-09 [=K68^2],2.0457178841105744e-20 [=(L68^2)/H68],,,,,,,,,,,,,,,,,,,,,,,
,,Mass of Hydrometer in the air,g,Normal,0.0003713488925525428 [=$E$39],2,60,0.0001856744462762714 [=F69/G69],0.004996826995391796 [=C55],9.277830855076967e-07 [=I69*J69],8.607814537541821e-13 [=K69^2],1.234907851878605e-26 [=(L69^2)/H69],,,,,,,,,,,,,,,,,,,,,,,
,,Mass of Hydrometer in Liquid Ref,g,Normal,0.0003713488925525428 [=F69],2,60,0.0001856744462762714 [=F70/G70],0.019203318642506156 [=C58],3.5655655556141305e-06 [=I70*J70],1.2713257731381903e-11 [=K70^2],2.6937820357423624e-24 [=(L70^2)/H70],,,,,,,,,,,,,,,,,,,,,,,
,,Stem Diameter,cm,Rectangular,0.0020000000000000018 [=PERHITUNGAN!$N$27-PERHITUNGAN!$P$27],3.4641016151377544 [=SQRT(12)],50,0.0005773502691896263 [=F71/G71],0.2996837039708289 [=C57],0.00017302246715930234 [=I71*J71],2.9936774141891855e-08 [=K71^2],1.79242089204529e-17 [=(L71^2)/H71],,,,,,,,,,,,,,,,,,,,,,,
,,Local Gravity,m/s2,Rectangular,0.0005,3.4641016151377544 [=SQRT(12)],50,0.00014433756729740645 [=F72/G72],-0.29968190587857835 [=F55],-4.325535725756433e-05 [=I72*J72],1.871025931479523e-09 [=K72^2],7.001476072537634e-20 [=(L72^2)/H72],,,,,,,,,,,,,,,,,,,,,,,
,,Surface Tension of liquid reference,N/m,Rectangular,0.015200000000007208 [=PERHITUNGAN!$L$53-PERHITUNGAN!$M$53],3.4641016151377544 [=SQRT(12)],50,0.0043878620458432365 [=F73/G73],0.01358887753332108 [=F57],5.962611997407142e-05 [=I73*J73],3.5552741831623593e-09 [=K73^2],2.527994903492156e-19 [=(L73^2)/H73],,,,,,,,,,,,,,,,,,,,,,,
,,Sum,,,,,,,,0.00043439833024504947 [=SUM(K63:K73)],5.9396516756989014e-08 [=SUM(L63:L73)],2.815606291099416e-17 [=SUM(M63:M73)],,,,,,,,,,,,,,,,,,,,,,,
,,"Uncertainty Combination, uc",,,,,,,,0.00024371400607472074 [=SQRT(L74)],,,,,,,,,,,,,,,,,,,,,,,,,
,,Veff,,,,,,,,125.29969882563776 [=(K75^4)/M74],,,,,,,,,,,,,,,,,,,,,,,,,
