,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,Recorder+Type N,,,,,,,,,,,,,,,,,,,,,,
,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Interpolasi Sensor Termokopel ,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi ,Type N,,,,,,,,,,,,,,,,,,,,,,
,-20,-0.2,,,,,,,,,,,,,,,,,,,,,,
,0,-0.25,,,,,,,,,,,,,,,,,,,,,,
,100,0.35,,,,,,,,,,,,,,,,,,,,,,
,200,-0.2,,,,,,,,,,,,,,,,,,,,,,
,25,-0.1,,,,,,,,,,,,,,,,,,,,,,
,50,0.04999999999999999,,,,,,,,,,,,,,,,,,,,,,
,150,0.07499999999999996,,,,,,,,,,,,,,,,,,,,,,
