,,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14T00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15T00:00:00,,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0,
,,,,,,,,,,,,,
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878,,,A,0.00390954,,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07,,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
,,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
150,157.582475,100.285707,1.5713353349545611,-0.5713353349545611,-1.5332080807879823e-06,1.52845030116e-05,1.3751294930812019e-05,0.0037082738478720822,-0.0002012661521279182,-1.341776e-06,149.99981526567638,0.00018473432362497988,
155,159.440224,100.285707,1.5898598989784256,-0.5898598989784256,-1.582919711623352e-06,1.52845030116e-05,1.370158329997665e-05,0.0037015649798398313,-0.0002079750201601691,-1.341776e-06,154.99980634634179,0.00019365365821499836,
160,161.29461,100.285707,1.6083509288118196,-0.6083509288118196,-1.6325413517148162e-06,1.52845030116e-05,1.3651961659885186e-05,0.00369485610814348,-0.0002146838918565203,-1.341776e-06,159.9998001577911,0.00019984220890023607,
165,163.145632,100.285707,1.6268084144832324,-0.6268084144832324,-1.6820729743033074e-06,1.52845030116e-05,1.3602430037296694e-05,0.0036881472363907456,-0.00022139276360925476,-1.341776e-06,164.99979401126177,0.00020598873823018948,
170,164.99329,100.285707,1.645232355992664,-0.645232355992664,-1.7315145793888255e-06,1.52845030116e-05,1.3552988432211176e-05,0.003681438364581319,-0.0002281016354186813,-1.341776e-06,169.99978790698395,0.00021209301604585562,
175,166.837584,100.285707,1.6636227533401144,-0.6636227533401144,-1.7808661669713709e-06,1.52845030116e-05,1.3503636844628631e-05,0.00367472949271489,-0.0002348105072851104,-1.341776e-06,174.99978184518906,0.0002181548109376763,
180,168.678513,100.285707,1.6819795965540734,-0.6819795965540734,-1.8301277102918767e-06,1.52845030116e-05,1.3454375301308125e-05,0.0036680206244387617,-0.00024151937556123873,-1.341776e-06,179.99977310761165,0.00022689238835482683,
185,170.516079,100.285707,1.7003029055775614,-0.7003029055775614,-1.879299262868476e-06,1.52845030116e-05,1.3405203748731526e-05,0.003661311752464071,-0.00024822824753592933,-1.341776e-06,184.99976712650198,0.00023287349802103563,
190,172.350281,100.285707,1.7185926704390686,-0.7185926704390686,-1.9283807979421032e-06,1.52845030116e-05,1.3356122213657899e-05,0.0036546028804314563,-0.0002549371195685441,-1.341776e-06,189.9997611885621,0.00023881143789594717,
195,174.181119,100.285707,1.7368488911385946,-0.7368488911385946,-1.9773723155127577e-06,1.52845030116e-05,1.3307130696087243e-05,0.003647894008340599,-0.0002616459916594013,-1.341776e-06,194.9997552940292,0.00024470597080039624,
200,176.008592,100.285707,1.7550715577046287,-0.7550715577046287,-2.026273788821372e-06,1.52845030116e-05,1.325822922277863e-05,0.003641185139865677,-0.0002683548601343233,-1.341776e-06,199.9997467046089,0.0002532953911043023,
Set point (0C),Rt,R0,Rt/R0,(Rt/R0)-1,A,100B,A+100B,,,,(UUT) 0C,Koreksi (0C),
-5,98.323681,100.285707,0.9804356367552954,-0.019564363244704563,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-4.9999948068896245,-5.1931103755009644e-06,-5.091636100597598
-10,96.358344,100.285707,0.9608382578386768,-0.039161742161323176,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-10.004024759417508,0.004024759417507795,-10.004024759417508
-15,94.389758,100.285707,0.9412084814838071,-0.05879151851619291,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-15.004075474959723,0.00407547495972338,
-20,92.417994,100.285707,0.9215470156679455,-0.0784529843320545,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-20.00396916367653,0.003969163676529774,
-25,90.443134,100.285707,0.9018546780549694,-0.09814532194503056,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-25.00384993849705,0.0038499384970513972,
-30,88.465267,100.285707,0.8821323561093307,-0.11786764389066928,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-30.00372129564389,0.003721295643888567,
-35,86.484494,100.285707,0.8623810569536096,-0.13761894304639044,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-35.003580673964116,0.003580673964115988,
-40,84.500925,100.285707,0.8426018774539825,-0.15739812254601748,0.00390954,-6.70888e-05,0.0038424512000000003,,,,-40.00342684530068,0.00342684530068027,
Rentang Suhu 0C,U95% 0C,,,,,,,,,,,,
-40-0,0.08,,,,,,,,,,,,
0-100,0.06,,,,,,,,,,,,
100-200,0.06,,,,,,,,,,,,
,,,,,,,,,,,,,
