,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5. HYSTERISIS,,,,,,,,=,Load (g),,,,Hysterisis (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20,,,,<,,0.0001,,,,,,,,,,,,,,,,,,,,,,MPE,,,,,,,,Nilai Max. Koreksi (g),,,,,,,,,,,,,,,
,,6. LIMIT OF PERFORMANCE,,,,,,,,=,±,0.0007697925606457936,,g,,,,,,,,,,,,,,,,,,,,,,,,,± 0.5 e,,,,,,,,,,,,,,,,,,,,,,,
,,7. WEIGHING UNCERTAINTY,,,,,,,,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,± 1 e,,,,,,,,,,,,,,,,,,,,,,,
,,"Nominal Standard 
(g)",,,,,"Uncertainty ±
(g)",,,,,,,"Nominal Standard 
(g)",,,,,,,,"Uncertainty ±
(g)",,,,,,,,,,,,,,,,,± 1.5 e,,,,,,,,,,,,,,,,,,,,,,,
,,5.000032,,,,,0.0005995625062945537,,,,,,,29.999973,,,,,,,,0.0006008279631175325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.999972,,,,,0.0006028505919302884,,,,,,,35.000005,,,,,,,,0.0006015574442190567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.000004,,,,,0.0006005315333069189,,,,,,,40.000002,,,,,,,,0.0006005569324693832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20.000001,,,,,0.0005997287350334007,,,,,,,45.000034,,,,,,,,0.0006011813673106411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25.000033000000002,,,,,0.000600220189495079,,,,,,,50.00008,,,,,,,,0.0005999229373269732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,That weighing uncertainty is mearured at confidence level 95% & coverage factor K = ,,,,,,,,,,,,,,,,,,,,,,2.0048792881880577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8. STANDARD USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Name,,,,,,,,Nominal Mass,,,,,,,Merk/Class,,,,,,,SN,,,,,Traceability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anak Timbangan E2,,,,,,,,100 mg - 200 g,,,,,,,-/E2,,,,,,,2434,,,,,LK-023-IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-04-19T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,------- End of Certificate -------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
