,Ketidakpastian cross sectional area,mm2,rectangular,0.883253086081929,2,60,0.4416265430409645,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,velocity profile,L,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Geometry factor,L,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Drift Ufm standar,L,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Sum,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,"Uncertainty Combination, uc",,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,Veff,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,K Factor & Confident Level 95%,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,,,,,,CMC,0,% O.R,,,,,,,,,,,,,,,,
,,,,,,,,,U95% sert,#N/A,L,,,,,,,,,,,,,,,,
,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 4,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,
,Ketidakpastian Standar Flowmeter Ultrasonik (FU),L,normal,#N/A,2,200,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Resolusi Alat yang dikalibrasi,L,rectangular,0.005,1.73,50,0.0028901734104046246,1,0.0028901734104046246,8.353102342209898e-06,1.3954863747886498e-12,,,,,,,,,,,,,,,,
,Ketidakpastian Pengukuran temperature fluida,oC,Normal,0.2780287754891569,2,50,0.13901438774457844,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Pengulangan Pembacaan,L,T-Student,0,1.7320508075688772,2,0,1,0,0,0,,,,,,,,,,,,,,,,
,Ketidakpastian cross sectional area,mm2,rectangular,0.883253086081929,2,60,0.4416265430409645,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,velocity profile,L,rectangular,0,1.73,50,0,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Geometry factor,L,rectangular,0,1.73,50,0,1,0,0,0,,,,,,,,,,,,,,,,
,Drift Ufm standar,L,rectangular,#N/A,1.73,50,#N/A,1,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,Sum,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,
,"Uncertainty Combination, uc",,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,Veff,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,K Factor & Confident Level 95%,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,"Expanded Uncertainty, U = k.Uc",,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
,,,,,,,,,CMC,0,% O.R,,,,,,,,,,,,,,,,
,,,,,,,,,U95% sert,#N/A,L,,,,,,,,,,,,,,,,
,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
