,FORM VALIDASI MASTER OLAH DATA KALIBRASI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Lingkup Kalibrasi                                                    :,,Massa,,,,,,,,,,,,,,,,,,,,
,Jenis/Type Pengukuran                                       :,,Timbangan (kg),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,Master Name,Last Modified Date,Detail Modified,PIC,,CHECK,,VALIDATION,,Notes/Revision,,,,,,,,,,,,
,,,,,Date:,2023-07-04T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,9,Master Olda Timbangan kg,2023-08-04T00:00:00,-Updating AT E2 recalibration 2023 on Database and Standar AT sheet,HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-08-04T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,10,Master Olda Timbangan kg,2023-10-24T00:00:00,"- Revisi lookup nilai ketidakpastian standar AT 20kg (U95% masing-masing AT A,B,C,D,E dst) di ""Standar_AT"" sheet (blue highlight)
-Revisi index AT used on ""Perhitungan U95%"" sheet dari kolom max total weight ke maximum AT used di ""Perhitungan FC"" sheet",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-10-24T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,11,Master Olda Timbangan kg,2023-12-07T00:00:00,"-Penambahan input nilai e dan kelas , dan drop box jenis timbangan (bertingkat, tak bertingkat) pada sheet ""Input Data""
-Penambahan perhitungan verifikasi nilai e, kelas, dan MPE pada sheet ""sertifikat""",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2023-12-07T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,12,Master Olda Timbangan kg,2024-02-23T00:00:00,"Update method calibration (latest)
Change technician ID (RH->CA)
Update drift AT E2",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-02-23T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,13,Master Olda Timbangan kg,2024-06-12T00:00:00,"-Adding abs correction and uncertainty of correction column on perhitungan FC sheet
-Change LOP equation refer to NMI Monograph 4 (2010)
-Adding PERHITUNGAN U95% - Correction sheet
-Revise calculation of eccentricity on peritungan FC, perhitungan u95%-weighing, and sertifikat sheet
-Change equation of stdev MID and MAX, if the result = 0 must use Sres value (not reported as 0)
- Change unit ""gr"" to ""g""
-Update AT calibrated E2 2mg",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-06-12T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,14,Master Olda Timbangan kg,2024-07-30T00:00:00,"Update recalibration 2024 TH 3 s/d 6
Update no IK latest revision (after reakreditasi 2024)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-07-30T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,15,Master Olda Timbangan kg,2024-09-24T00:00:00,"Update Recalibration AT 20kg, 1;2;5kg, dan F1 set (include their drift record)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-09-24T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,16,Master Olda Timbangan kg,2024-10-28T00:00:00,"Update CMC Hasil Reakreditasi
Update rekalibrasi AT 10kg (include the drift)",HN,,,,,,,,,,,,,,,,,,
,,,,,Position :,,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2024-10-28T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,17,Master Olda Timbangan kg,2025-04-28T00:00:00,Update Database (Recalibration 2025 TH 2),DR,,,,,,,,,,,,,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2025-04-28T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,18,Master Olda Timbangan kg,2025-08-26T00:00:00,-Updating AT E2 recalibration 2025 on Database and Standar AT sheet,DR,,,,,,,,,,,,,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2025-08-26T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,19,Master Olda Timbangan kg,2025-10-27T00:00:00,"-Update link Ui sheet 'U95 correction' from J/M to J/K
-Update Link Sr from sheet U95 correction, seharusnya diambil dari deviasi masing masing titik",DR,,,,,,,,,,,,,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2025-10-27T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,20,Master Olda Timbangan kg,2025-11-26T00:00:00,"-Updating ""Database"" sheet:  TH-1, TH-2, TH-3, TH-4, TH-6 & TH-7. Change to Xiaomi",DR,,,,,,,,,,,,,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2025-11-26T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,21,Master Olda Timbangan gr,2026-05-29T00:00:00,"-Revisi rumus Perhitungan FC Repeatibility middle dan full capacitiy dengan menggunakan nilai hasil pengurangan dengan zero untuk nilai std deviasinya.
- Revisi nilai Sr pada Perhitungan U95% diambil dari STDEV repeatibility middle untuk anak timbangan yang nominanya dibawah hingga setengah kapasitas dan STDEV repeatibility full capacity untuk anak timbangan yang nominalnya diatas setengah kapasitas sampai full kapasitas bukan dengan nilai stdev pada masing-masing titik.
- Revisi nilai perhitungan difference pada LOADING INFLUENCE ON EACH POSITION (LP) seharusnya nilainya dikurangi dengan Center buka nominal anak timbangan.
- Revisi rumus perhitungan u95% rounding of final result",NS,,,,,,,,,,,,,,,,,,
,,,,,Position :,Data Analyst,Position :,,Position :,,,,,,,,,,,,,,
,,,,,Date:,2026-05-29T00:00:00,Date:,,Date:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,
,User Requirement,,,,,,,,,,,,,,,,,,,,,,
,1,Use Microsoft Office 2016 or higher versions for a better performance.,,,,,,,,,,,,,,,,,,,,,
,2,Enable excel with macro warnings.,,,,,,,,,,,,,,,,,,,,,
,3,Please Enable Developer Tab before using this master worksheet.,,,,,,,,,,,,,,,,,,,,,
,,How to enable Developer Tab:,,,,,,,,,,,,,,,,,,,,,
,,"*Click File-Options-Customize Ribbons- Check (√) ""Developer"" on Main Tabs-OK",,,,,,,,,,,,,,,,,,,,,
,4,Fill the raw data (calibration results) on INPUT DATA sheet.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Validation Rules,,,,,,,,,,,,,,,,,,,,,,
,1,Please fill existing format in this sheet with the detailed revision/change.,,,,,,,,,,,,,,,,,,,,,
,2,Write down the actual date and PIC/Checker/Validator name.,,,,,,,,,,,,,,,,,,,,,
,3,"Save as the new revision master's file in the same location without deleting the previous files, add it with the number of revision (example: Master Olah Data Suhu_Rev.1)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
