PERHITUNGAN U95%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolution Value :,,,,Divisor for Resolution:,,,,"Jika standar deviasi =0 (timbangan kasar) , maka STDEV = 0.82 X a",,,,,,,,Index AT used :,,20,,,,,,
,Digital,,:,0.01,,1.7320508075688772,,,a :,0.01,(jika digital),,→,0.008199999999999999,,,Max AT used :,,M2 20kg,,,,,,
,Mekanik,,:,0.002,,2.449489742783178,,,a :,0.002,(jika mekanik),,→,0.00164,,,,,,,,,,,
,,,,,,,,Max,,,,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,,,,,
,,,,,,,S,,Sres MAX :,0.008199999999999999,→,U Max=,0.008199999999999999,,"Sr>Sres , standard uncertainty U= Sr/√n",,,,,,,,,,
,,,,,,,Sr,,,,,,,,"Sr=Sres, standartd uncertainty U=Sr",,,,,,,,,,
,,,,,,Note:,,,,,,,,,,,,,,,,,,,
,,,,,,S: stdev on n-repeat measurement,,,,,,,,,,,,,,,,,,,
,,,,,,Sr: stdev 1 cycle accuration measurement,,,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 6,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 6,,,,,kg,Rectangular,,0.023005553876328497,Ö3,,50,,0.023005553876328497,,1,0.0005292555091566531,,5.602227879453362e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.0005959221758233184,,5.646672323897805e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.024411517278188966,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,62.89071142574504,,,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9989715170333793,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.048797927726667946,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.048797927726667946,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 7,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 7,,,,,kg,Rectangular,,0.02300667212979787,Ö3,,50,,0.02300667212979787,,1,0.000529306962488018,,5.603317210765842e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.0005959736291546833,,5.647761655210285e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.024412571129536587,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,62.88943980490608,,,,,,,,
