PERHITUNGAN U95% of CORRECTION,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,POINT 1 ,10.000007,,kg,,,,,,,,,,,,,,,,,,,
,Mass Instability (Drift)-Mass 3,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 4,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,kg,T-Student,,0.008199999999999999,1,,1000,,0.008199999999999999,,1,6.723999999999999e-05,,4.521217599999998e-12,,,,
,Rounding of Final Result,,,,,kg,Rectangular,,0.02,3.4641,,1000,,0.00577350538379377,,1,3.333336441669565e-05,,1.111113183336232e-12,,,,
,Total,,,,,,,,,,,,,,,,0.00011271397008336077,,8.534623359228489e-12,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.010616683572724618,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1488.5764159956084,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9615595283744562,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.020825256821814537,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.033,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
4,POINT 4,39.9994,,kg,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,20,20,,,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (kg),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,0.003470741143233213,0.003470741143233213,,0,,0,0,,0,,Sr,=,0.0063245553203355,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,0.008199999999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,kg,Normal,,0.0012,2,,60,,0.0006,,1,3.5999999999999994e-07,,2.1599999999999992e-15,,,,
,Mass Instability (Drift)-Mass 1,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 2,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 3,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 4,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,kg,T-Student,,0.008199999999999999,1,,1000,,0.008199999999999999,,1,6.723999999999999e-05,,4.521217599999998e-12,,,,
,Rounding of Final Result,,,,,kg,Rectangular,,0.02,3.4641,,1000,,0.00577350538379377,,1,3.333336441669565e-05,,1.111113183336232e-12,,,,
,Total,,,,,,,,,,,,,,,,0.0001250254525833592,,1.1438777905639143e-11,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.011181478103692697,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1366.523934866135,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.961702153538187,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.021934729675754047,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.033,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
5,POINT 5,49.999407000000005,,kg,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,20,20,,10,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (kg),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,0.003470741143233213,0.003470741143233213,,2.3094010767038932e-06,,0,0,,0,,Sr,=,0.0063245553203355,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,0.008199999999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,kg,Normal,,0.001215,2,,60,,0.0006075,,1,3.6905624999999995e-07,,2.2700419277343743e-15,,,,
,Mass Instability (Drift)-Mass 1,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 2,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 3,,,,,kg,Rectangular,,2.3094010767038932e-06,Ö3,,50,,2.3094010767038932e-06,,1,5.3333333330811016e-12,,5.688888888350794e-25,,,,
,Mass Instability (Drift)-Mass 4,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,kg,T-Student,,0.008199999999999999,1,,1000,,0.008199999999999999,,1,6.723999999999999e-05,,4.521217599999998e-12,,,,
,Rounding of Final Result,,,,,kg,Rectangular,,0.02,3.4641,,1000,,0.00577350538379377,,1,3.333336441669565e-05,,1.111113183336232e-12,,,,
,Total,,,,,,,,,,,,,,,,0.00012503451416669256,,1.1438887947567444e-11,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.011181883301425237,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1366.708879793288,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.961702153538187,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.02193552455301858,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.033,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
6,POINT 6,59.9991,,kg,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
,Mass 1,Mass 2,,Mass 3,,Mass 4,Mass 5,,Mass 6,,Sr,:,stdev dr n-kali pengulangan pengukuran,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,
,20,20,,20,,,,,,,Sres,:,0.82 *a,,,,"Sr>Sres , standard uncertainty U= Sr/√n , vi=9",,,,,,
,Drift / Instability of Each mass (kg),,,,,,,,,,Nilai,,,,,,"Sr=Sres, standartd uncertainty U=Sr, vi= 1000",,,,,,
,0.003470741143233213,0.003470741143233213,,0.003470741143233213,,0,0,,0,,Sr,=,0.006324555320339994,,,,"Sr=0, standartd uncertainty U=Sres, vi= 1000",,,,,,
,,,,,,,,,,,Sres,=,0.008199999999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,
,Weight Standard (Calibrated Mass),,,,,kg,Normal,,0.0017999999999999997,2,,60,,0.0008999999999999999,,1,8.099999999999998e-07,,1.0934999999999993e-14,,,,
,Mass Instability (Drift)-Mass 1,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 2,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 3,,,,,kg,Rectangular,,0.003470741143233213,Ö3,,50,,0.003470741143233213,,1,1.2046044083331789e-05,,2.9021435611514557e-12,,,,
,Mass Instability (Drift)-Mass 4,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 5,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Mass Instability (Drift)-Mass 6,,,,,kg,Rectangular,,0,Ö3,,50,,0,,1,0,,0,,,,
,Repeatability,,,,,kg,T-Student,,0.008199999999999999,1,,1000,,0.008199999999999999,,1,6.723999999999999e-05,,4.521217599999998e-12,,,,
,Rounding of Final Result,,,,,kg,Rectangular,,0.02,3.4641,,1000,,0.00577350538379377,,1,3.333336441669565e-05,,1.111113183336232e-12,,,,
,Total,,,,,,,,,,,,,,,,0.000137521496666691,,1.4349696466790595e-11,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.011726955984682938,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,1317.9485774639895,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9617668819066945,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.023005553876328497,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.033,,,,kg,,
,,,,,,,,,,,,,,,,,,,,,,,
7,POINT 7,69.99910700000001,,kg,,,,,,,,,,,,,,,,,,,
,AT Used (if std. mass are combined),,,,,,,,,,,,,,,,,,,,,,
