,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14 00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15 00:00:00 [=J2+[6]DATABASE!AF2+1],,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0 [=D14-1],
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878 [='FC Prt Pt100'!B10],,,A,0.00390954 [=C10],,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07 [=C11],,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
125,148.243265,100.285707,1.4782093025479692 [=B39/C39],-0.47820930254796923 [=1-D39],-1.283299530271208e-06 [=-4*$C$11*E39],1.52845030116e-05 [=$C$10^2],1.4001203481328794e-05 [=G39+F39],0.003741818205275183 [=SQRT(H39)],-0.00016772179472481722 [=-$C$10+I39],-1.341776e-06 [=2*$C$11],124.99984701233083 [=J39/K39],0.00015298766916771456 [=A39-L39],
130,150.117835,100.285707,1.49690159735325 [=B40/C40],-0.49690159735325 [=1-D40],-1.3334612753805088e-06 [=-4*$C$11*E40],1.52845030116e-05 [=$C$10^2],1.3951041736219492e-05 [=G40+F40],0.003735109333904363 [=SQRT(H40)],-0.00017443066609563757 [=-$C$10+I40],-1.341776e-06 [=2*$C$11],129.99984058116823 [=J40/K40],0.0001594188317710632 [=A40-L40],
135,151.989041,100.285707,1.5155603479965494 [=B41/C41],-0.5155603479965494 [=1-D41],-1.383533002986836e-06 [=-4*$C$11*E41],1.52845030116e-05 [=$C$10^2],1.3900970008613165e-05 [=G41+F41],0.003728400462478939 [=SQRT(H41)],-0.00018113953752106138 [=-$C$10+I41],-1.341776e-06 [=2*$C$11],134.9998341907005 [=J41/K41],0.00016580929948872836 [=A41-L41],
140,153.856883,100.285707,1.534185554477868 [=B42/C42],-0.534185554477868 [=1-D42],-1.4335147130901915e-06 [=-4*$C$11*E42],1.52845030116e-05 [=$C$10^2],1.385098829850981e-05 [=G42+F42],0.003721691590998616 [=SQRT(H42)],-0.00018784840900138442 [=-$C$10+I42],-1.341776e-06 [=2*$C$11],139.99982784114817 [=J42/K42],0.00017215885182508828 [=A42-L42],
145,155.721361,100.285707,1.5527772167972052 [=B43/C43],-0.5527772167972052 [=1-D43],-1.4834064056905734e-06 [=-4*$C$11*E43],1.52845030116e-05 [=$C$10^2],1.3801096605909428e-05 [=G43+F43],0.003714982719463097 [=SQRT(H43)],-0.00019455728053690332 [=-$C$10+I43],-1.341776e-06 [=2*$C$11],144.99982153273223 [=J43/K43],0.00017846726777293043 [=A43-L43],
150,157.582475,100.285707,1.5713353349545611 [=B44/C44],-0.5713353349545611 [=1-D44],-1.5332080807879823e-06 [=-4*$C$11*E44],1.52845030116e-05 [=$C$10^2],1.3751294930812019e-05 [=G44+F44],0.0037082738478720822 [=SQRT(H44)],-0.0002012661521279182 [=-$C$10+I44],-1.341776e-06 [=2*$C$11],149.99981526567638 [=J44/K44],0.00018473432362497988 [=A44-L44],
155,159.440224,100.285707,1.5898598989784256 [=B45/C45],-0.5898598989784256 [=1-D45],-1.582919711623352e-06 [=-4*$C$11*E45],1.52845030116e-05 [=$C$10^2],1.370158329997665e-05 [=G45+F45],0.0037015649798398313 [=SQRT(H45)],-0.0002079750201601691 [=-$C$10+I45],-1.341776e-06 [=2*$C$11],154.99980634634179 [=J45/K45],0.00019365365821499836 [=A45-L45],
160,161.29461,100.285707,1.6083509288118196 [=B46/C46],-0.6083509288118196 [=1-D46],-1.6325413517148162e-06 [=-4*$C$11*E46],1.52845030116e-05 [=$C$10^2],1.3651961659885186e-05 [=G46+F46],0.00369485610814348 [=SQRT(H46)],-0.0002146838918565203 [=-$C$10+I46],-1.341776e-06 [=2*$C$11],159.9998001577911 [=J46/K46],0.00019984220890023607 [=A46-L46],
165,163.145632,100.285707,1.6268084144832324 [=B47/C47],-0.6268084144832324 [=1-D47],-1.6820729743033074e-06 [=-4*$C$11*E47],1.52845030116e-05 [=$C$10^2],1.3602430037296694e-05 [=G47+F47],0.0036881472363907456 [=SQRT(H47)],-0.00022139276360925476 [=-$C$10+I47],-1.341776e-06 [=2*$C$11],164.99979401126177 [=J47/K47],0.00020598873823018948 [=A47-L47],
170,164.99329,100.285707,1.645232355992664 [=B48/C48],-0.645232355992664 [=1-D48],-1.7315145793888255e-06 [=-4*$C$11*E48],1.52845030116e-05 [=$C$10^2],1.3552988432211176e-05 [=G48+F48],0.003681438364581319 [=SQRT(H48)],-0.0002281016354186813 [=-$C$10+I48],-1.341776e-06 [=2*$C$11],169.99978790698395 [=J48/K48],0.00021209301604585562 [=A48-L48],
175,166.837584,100.285707,1.6636227533401144 [=B49/C49],-0.6636227533401144 [=1-D49],-1.7808661669713709e-06 [=-4*$C$11*E49],1.52845030116e-05 [=$C$10^2],1.3503636844628631e-05 [=G49+F49],0.00367472949271489 [=SQRT(H49)],-0.0002348105072851104 [=-$C$10+I49],-1.341776e-06 [=2*$C$11],174.99978184518906 [=J49/K49],0.0002181548109376763 [=A49-L49],
180,168.678513,100.285707,1.6819795965540734 [=B50/C50],-0.6819795965540734 [=1-D50],-1.8301277102918767e-06 [=-4*$C$11*E50],1.52845030116e-05 [=$C$10^2],1.3454375301308125e-05 [=G50+F50],0.0036680206244387617 [=SQRT(H50)],-0.00024151937556123873 [=-$C$10+I50],-1.341776e-06 [=2*$C$11],179.99977310761165 [=J50/K50],0.00022689238835482683 [=A50-L50],
185,170.516079,100.285707,1.7003029055775614 [=B51/C51],-0.7003029055775614 [=1-D51],-1.879299262868476e-06 [=-4*$C$11*E51],1.52845030116e-05 [=$C$10^2],1.3405203748731526e-05 [=G51+F51],0.003661311752464071 [=SQRT(H51)],-0.00024822824753592933 [=-$C$10+I51],-1.341776e-06 [=2*$C$11],184.99976712650198 [=J51/K51],0.00023287349802103563 [=A51-L51],
190,172.350281,100.285707,1.7185926704390686 [=B52/C52],-0.7185926704390686 [=1-D52],-1.9283807979421032e-06 [=-4*$C$11*E52],1.52845030116e-05 [=$C$10^2],1.3356122213657899e-05 [=G52+F52],0.0036546028804314563 [=SQRT(H52)],-0.0002549371195685441 [=-$C$10+I52],-1.341776e-06 [=2*$C$11],189.9997611885621 [=J52/K52],0.00023881143789594717 [=A52-L52],
195,174.181119,100.285707,1.7368488911385946 [=B53/C53],-0.7368488911385946 [=1-D53],-1.9773723155127577e-06 [=-4*$C$11*E53],1.52845030116e-05 [=$C$10^2],1.3307130696087243e-05 [=G53+F53],0.003647894008340599 [=SQRT(H53)],-0.0002616459916594013 [=-$C$10+I53],-1.341776e-06 [=2*$C$11],194.9997552940292 [=J53/K53],0.00024470597080039624 [=A53-L53],
200,176.008592,100.285707,1.7550715577046287 [=B54/C54],-0.7550715577046287 [=1-D54],-2.026273788821372e-06 [=-4*$C$11*E54],1.52845030116e-05 [=$C$10^2],1.325822922277863e-05 [=G54+F54],0.003641185139865677 [=SQRT(H54)],-0.0002683548601343233 [=-$C$10+I54],-1.341776e-06 [=2*$C$11],199.9997467046089 [=J54/K54],0.0002532953911043023 [=A54-L54],
Set point (0C),Rt,R0,Rt/R0,(Rt/R0)-1,A,100B,A+100B,,,,(UUT) 0C,Koreksi (0C),
-5,98.323681,100.285707,0.9804356367552954 [=B56/C56],-0.019564363244704563 [=D56-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F56+G56],,,,-4.9999948068896245 [=N56-((1+$J$9*N56+$J$10*(N56^2)+$J$11*(N56^3)*(N56-100)-D56)/($J$9+2*$J$10*N56-300*$J$11*(N56^2)+4*$J$11*(N56^3)))],-5.1931103755009644e-06 [=A56-L56],-5.091636100597598 [=E56/(J9+(100*J10))]
