,,,,,V 20 (ml),,10.588560085479635 [=H35*(1/(H45-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(H40-20)))))],,50.897907290862804 [=J35*(1/(J45-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(J40-20)))))],,99.60500313840707 [=L35*(1/(L45-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(L40-20)))))],,#VALUE! [=N35*(1/(N45-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(N40-20)))))],,#VALUE! [=P35*(1/(P45-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(P40-20)))))],,,,,,,,,,,,,,
,,,,,,,10.599727170395155 [=H36*(1/(H46-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(H41-20)))))],,50.85168026672126 [=J36*(1/(J46-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(J41-20)))))],,99.66102009775055 [=L36*(1/(L46-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(L41-20)))))],,#VALUE! [=N36*(1/(N46-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(N41-20)))))],,#VALUE! [=P36*(1/(P46-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(P41-20)))))],,,,,,,,,,,,,,
,,,,,,,10.686261093181527 [=H37*(1/(H47-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(H42-20)))))],,51.034113220548676 [=J37*(1/(J47-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(J42-20)))))],,99.64418334530626 [=L37*(1/(L47-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(L42-20)))))],,#VALUE! [=N37*(1/(N47-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(N42-20)))))],,#VALUE! [=P37*(1/(P47-$H$86)*(1-($H$86/$H$87)*(1-($H$88*(P42-20)))))],,,,,,,,,,,,,,
,,,,,AVERAGE,,10.62484944968544 [=AVERAGE(H50:I52)],,50.92790025937759 [=AVERAGE(J50:K52)],,99.63673552715461 [=AVERAGE(L50:M52)],,#VALUE! [=AVERAGE(N50:O52)],,#VALUE! [=AVERAGE(P50:Q52)],,,,,,,,,,,,,,
,,,,,STDEV,,0.053476335084273664 [=STDEV(H50:I52)],,0.09484265538667319 [=STDEV(J50:K52)],,0.028741562760871833 [=STDEV(L50:M52)],,#VALUE! [=STDEV(N50:O52)],,#VALUE! [=STDEV(P50:Q52)],,,,,,,,,,,,,,
,,,,,Rata - Rata STDEV,,"0.03537981705907074 [ARRAY:=STDEV(IFERROR(H54:Q54,""""))]",,,,,,,,,,,,,,,,,,,,,,
,,,,,CALCULATION V20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Density of the Destillate Water ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nominal,,Point 1 [=H25],,Point 2 [=J25],,Point 3 [=L25],,Point 4 [=N25],,Point 5 [=P25],,,,,,,,,,,,,,
,,,,,ml,,10 [=H26],,50 [=J26],,100 [=L26],,0 [=N26],,0 [=P26],,,,,,,,,,,,,,
,,,,,Density (g/ml),a,472.71430340299423 [=(H40+(-3.983035))^2],,472.71430340299423 [=(J40+(-3.983035))^2],,468.3759046015825 [=(L40+(-3.983035))^2],,#VALUE! [=(N40+(-3.983035))^2],,#VALUE! [=(P40+(-3.983035))^2],,,,,,,,,,,,,,
,,,,,,b,327.52202900705913 [=H40+301.797],,327.52202900705913 [=J40+301.797],,327.4220290070591 [=L40+301.797],,#VALUE! [=N40+301.797],,#VALUE! [=P40+301.797],,,,,,,,,,,,,,
,,,,,,c,49678828.51513569 [=522528.9*(H40+69.34881)],,49678828.51513569 [=522528.9*(J40+69.34881)],,49626575.62513569 [=522528.9*(L40+69.34881)],,#VALUE! [=522528.9*(N40+69.34881)],,#VALUE! [=522528.9*(P40+69.34881)],,,,,,,,,,,,,,
,,,,,,a,468.3759046015825 [=(H41+(-3.983035))^2],,468.3759046015825 [=(J41+(-3.983035))^2],,464.0575058001706 [=(L41+(-3.983035))^2],,#VALUE! [=(N41+(-3.983035))^2],,#VALUE! [=(P41+(-3.983035))^2],,,,,,,,,,,,,,
,,,,,,b,327.4220290070591 [=H41+301.797],,327.4220290070591 [=J41+301.797],,327.32202900705914 [=L41+301.797],,#VALUE! [=N41+301.797],,#VALUE! [=P41+301.797],,,,,,,,,,,,,,
,,,,,,c,49626575.62513569 [=522528.9*(H41+69.34881)],,49626575.62513569 [=522528.9*(J41+69.34881)],,49574322.73513569 [=522528.9*(L41+69.34881)],,#VALUE! [=522528.9*(N41+69.34881)],,#VALUE! [=522528.9*(P41+69.34881)],,,,,,,,,,,,,,
,,,,,,a,472.71430340299423 [=(H42+(-3.983035))^2],,477.0727022044061 [=(J42+(-3.983035))^2],,472.71430340299423 [=(L42+(-3.983035))^2],,#VALUE! [=(N42+(-3.983035))^2],,#VALUE! [=(P42+(-3.983035))^2],,,,,,,,,,,,,,
,,,,,,b,327.52202900705913 [=H42+301.797],,327.62202900705915 [=J42+301.797],,327.52202900705913 [=L42+301.797],,#VALUE! [=N42+301.797],,#VALUE! [=P42+301.797],,,,,,,,,,,,,,
,,,,,,c,49678828.51513569 [=522528.9*(H42+69.34881)],,49731081.40513569 [=522528.9*(J42+69.34881)],,49678828.51513569 [=522528.9*(L42+69.34881)],,#VALUE! [=522528.9*(N42+69.34881)],,#VALUE! [=522528.9*(P42+69.34881)],,,,,,,,,,,,,,
,,,,,Nominal (ml),,10 [=H26],,50 [=J26],,100 [=L26],,0 [=N26],,0 [=P26],,,,,,,,,,,,,,
,,,,ΔR,Weight of Destillate Water (g),,10.581333333333335 [=H38],,50.71886666666666 [=J38],,99.23039999999999 [=L38],,0 [=N38],,0 [=P38],,,,,,,,,,,,,,
,,,,tair,Temp. of Destillate Water (°C),,25.691695673725775 [=H43],,25.72502900705911 [=J43],,25.625029007059112 [=L43],,#VALUE! [=N43],,#VALUE! [=P43],,Max,,,,,,,,,,,,
,,,,ρair,Density of Des. Water (g/ml),,0.9968672871143823 [=H48],,0.9968584911424401 [=J48],,0.9968847850530534 [=L48],,#VALUE! [=N48],,#VALUE! [=P48],,"0.9968847850530534 [ARRAY:=MAX(IFERROR(H85:Q85, """"))]",,,,,,,,,,,,
,,,,ρudara,Air Density (g/ml),,0.0011008519333332652 [=((0.34848*$G$19)-(0.009*$G$17)*EXP(0.061*$G$16))/($G$16+273.15)/1000],,0.0011008519333332652 [=((0.34848*$G$19)-(0.009*$G$17)*EXP(0.061*$G$16))/($G$16+273.15)/1000],,0.0011008519333332652 [=((0.34848*$G$19)-(0.009*$G$17)*EXP(0.061*$G$16))/($G$16+273.15)/1000],,0.0011008519333332652 [=((0.34848*$G$19)-(0.009*$G$17)*EXP(0.061*$G$16))/($G$16+273.15)/1000],,0.0011008519333332652 [=((0.34848*$G$19)-(0.009*$G$17)*EXP(0.061*$G$16))/($G$16+273.15)/1000],,,,,,,,,,,,,,
,,,,ρAT,Density of Weight Standard (g/ml),,7.95,,7.95,,7.95,,7.95,,7.95,,,,,,,,,,,,,,
,,,,ϒ,Expansion Coefficient of Material (/oC),,"1.5e-05 [=IF('INPUT DATA'!$I$17=""A"",'Tabel Koefisien Muai Bahan'!$B$4,IF('INPUT DATA'!$I$17=""B"",'Tabel Koefisien Muai Bahan'!$B$5,""cek kelas""))]",,"1.5e-05 [=IF('INPUT DATA'!$I$17=""A"",'Tabel Koefisien Muai Bahan'!$B$4,IF('INPUT DATA'!$I$17=""B"",'Tabel Koefisien Muai Bahan'!$B$5,""cek kelas""))]",,"1.5e-05 [=IF('INPUT DATA'!$I$17=""A"",'Tabel Koefisien Muai Bahan'!$B$4,IF('INPUT DATA'!$I$17=""B"",'Tabel Koefisien Muai Bahan'!$B$5,""cek kelas""))]",,"1.5e-05 [=IF('INPUT DATA'!$I$17=""A"",'Tabel Koefisien Muai Bahan'!$B$4,IF('INPUT DATA'!$I$17=""B"",'Tabel Koefisien Muai Bahan'!$B$5,""cek kelas""))]",,"1.5e-05 [=IF('INPUT DATA'!$I$17=""A"",'Tabel Koefisien Muai Bahan'!$B$4,IF('INPUT DATA'!$I$17=""B"",'Tabel Koefisien Muai Bahan'!$B$5,""cek kelas""))]",,,,,,,,,,,,,,
,,,,,SV20 (mL),,10.62484944968544 [=H53],,50.92790025937759 [=J53],,99.63673552715461 [=L53],,#VALUE! [=N53],,#VALUE! [=P53],,,,,,,,,,,,,,
,,,,,Deviation (ml),,0.6248494496854402 [=H89-H82],,0.9279002593775871 [=J89-J82],,-0.3632644728453869 [=L89-L82],,#VALUE! [=N89-N82],,#VALUE! [=P89-P82],,,,,,,,,,,,,,
