,,,,,,,,,,,,,
,Nama Alat,:,Temperature Calibrator,,,Tanggal Kalibrasi ,,:,2020-09-25T00:00:00,,,,
,Merek,:,Victor,,,Due Date Kalibrasi,,:,2021-09-25T00:00:00,,,,
,Type,:,Victor 14+,,,Tertelusur,,:,LK-202-IDN,,,,
,S/N,:,992613877,,,,,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,PRT PT100,,,,,,,,,,
,,,Injeksi Tahanan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,Ω,oC,oC,oC,oC,,,,,,
,,,0.001,0.24,0,0.24,0.58,,,,,,
,,,,,25,0.3549999999999994,0.58,,,,,,
,,,0.302,50.47,50,0.46999999999999886,0.58,,,,,,
,,,0.649,100.42,100,0.4200000000000017,0.58,,,,,,
,,,1.447,200.73,200,0.7299999999999898,0.58,,,,,,
,,,,,300,0.8699999999999903,0.58,,,,,,
,,,3.269,401.01,400,1.009999999999991,0.58,,,,,,
,,,,,500,1.009999999999991,0.58,,,,,,
,,,5.249,601.01,600,1.009999999999991,0.58,,,,,,
,,,,,700,1.0550000000000068,0.58,,,,,,
,,,7.357,801.1,800,1.1000000000000227,0.58,,,,,,
,,,,,900,1.0200000000000387,0.58,,,,,,
,,,9.598,1000.94,1000,0.9400000000000546,0.58,,,,,,
,,,11.965,1201.21,1200,1.2100000000000364,0.58,,,,,,
,,,,,,,,,,,,,
,Mode,:,Measure (Indikator),,,,,,,,,,
,Sensor,:,Thermocouple Type J,,,,,,,,,,
,,,Injeksi Tegangan,"Konversi Satuan Standart
(Standart Indication)","Pembacaan Alat
(UUT)",Correction,"Uncertainty
U95%",,,,,,
,,,mV,oC,oC,oC,oC,,,,,,
,,,-0.003,-0.05,0,-0.05,0.17,,,,,,
,,,,,25,0.04500000000000028,0.17,,,,,,
,,,2.594,50.14,50,0.14000000000000057,0.17,,,,,,
,,,5.279,100.21,100,0.20999999999999375,0.17,,,,,,
,,,10.79,200.19,200,0.18999999999999773,0.17,,,,,,
,,,,,300,0.22999999999998977,0.17,,,,,,
,,,21.862,400.27,400,0.2699999999999818,0.17,,,,,,
,,,,,500,0.2950000000000159,0.17,,,,,,
,,,33.121,600.32,600,0.32000000000005,0.17,,,,,,
,,,,,700,0.37000000000000455,0.17,,,,,,
,,,45.52,800.42,800,0.4199999999999591,0.17,,,,,,
,,,,,900,0.5249999999999773,0.17,,,,,,
,,,57.99,1000.63,1000,0.6299999999999955,0.17,,,,,,
