,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Recorder,,,,,,,,,,,Tanggal Kalibrasi ,,:,2021-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Type,:,"6100A (TYPE N,K)",,,,,,,,,,,Due Date Kalibrasi,,:,2022-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,S/N,:,253341,,,,,,,,,,,Tertelusur,,:,LK-202-IDN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI KOREKSI TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,,,,,,
,500,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,600,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,700,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,800,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,900,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,1000,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,1200,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2021-08-24T00:00:00,,,,,,,,,,Nama,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2020-09-25T00:00:00,,,,,,,,,,,,,
,Type,:,Type N,,,Due Date Kalibrasi,,:,2023-08-24T00:00:00,,,,,,,,,,Type,:,Type K,,,Due Date Kalibrasi,,:,2022-09-25T00:00:00,,,,,,,,,,,,,
,S/N,:,3~12,,,Tertelusur,,:,LK-064-IDN,,,,,,,,,,S/N,:,KJ25-01 ~ 16,,,Tertelusur,,:,LK-202-IDN,,,,,,,,,,,,,
,TABEL NILAI KOREKSI SENSOR TERMOKOPEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Thermocouple Type N,,,,,,,,,,,,,,,,Correction (oC) Thermocuple Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,,,,,,
,-20,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,3.6399999999999997,3.6399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,3.375,3.375,,,,,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,,,,,,
