,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,3.051212178596071,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,1.5,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,3.051212178596071,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Digital Tachometer,,,,,,,For range 7000-15000 rpm,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,7000-10000,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca standard,,,,,,,,:,0.1,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca UUT,,,,,,,,:,1,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,Rpm,,normal,,,1.6,,,2,,60,,0.8,,,1,,0.8,,,0.6400000000000001,,,,0.00682666666666667,,,,,,,,
,Ketidakpastian Baku Daya Baca Standard,,,,,,,Rpm,,rect.,,,0.05,,,1.7320508075688772,,1000000,,0.02886751345948129,,,1,,0.02886751345948129,,,0.0008333333333333335,,,,6.944444444444447e-13,,,,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,Rpm,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,,,,,,
,Ketidakpastian Drift Standar,,,,,,,Rpm,,rect.,,,0,,,1.7320508075688772,,1000000,,0,,,1,,0,,,0,,,,0,,,,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,Rpm,,t-student,,,0,,,5,,4,,0,,,1,,0,,,0,,,,0,,,,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7241666666666668,,,,0.0068266736118055595,,,,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8509798274146496,,,,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,76.81887122949918,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.991672609644662,,,,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,1.6948732136218994,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,5,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,5,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,,,,,,,:,Digital Tachometer,,,,,,,For range 15000-30000 rpm,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,,,,,,,:,15000-30000,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca standard,,,,,,,,:,1,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ketelitian Baca UUT,,,,,,,,:,1,,,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,,,Unit,,Distribution,,,U,,,Divisor,,vi,,ui,,,ci,,uici,,,( uici )2,,,,( uici )4/ vi,,,,,,,,
,Ketidakpastian Baku Sertifikat Kalibrasi Calibrator,,,,,,,Rpm,,normal,,,3.1,,,2,,60,,1.55,,,1,,1.55,,,2.4025000000000003,,,,0.09620010416666669,,,,,,,,
,Ketidakpastian Baku Daya Baca Standard,,,,,,,Rpm,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,,,,,,
,Ketidakpastian Baku Daya Baca Alat yang dikalibrasi,,,,,,,Rpm,,rect.,,,0.5,,,1.7320508075688772,,1000000,,0.2886751345948129,,,1,,0.2886751345948129,,,0.08333333333333336,,,,6.9444444444444484e-09,,,,,,,,
,Ketidakpastian Drift Standar,,,,,,,Rpm,,rect.,,,2.25,,,1.7320508075688772,,1000000,,1.299038105676658,,,1,,1.299038105676658,,,1.6875,,,,2.84765625e-06,,,,,,,,
,Ketidakpastian Baku Pengulangan Pembacaan,,,,,,,Rpm,,t-student,,,0.2683281573001375,,,5,,4,,0.12000000000007277,,,1,,0.12000000000007277,,,0.014400000000017465,,,,5.1840000000125745e-05,,,,,,,,
,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,4.271066666666685,,,,0.09625480571180571,,,,,,,,
,"Ketidakpastian Baku Gabungan , Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0666559139505263,,,,,,,,,,,,
,"Derajat Kebebasan , v eff",,,,,,,,,,,,,,,,,,,,,,,,,,,189.51791898816197,,,,,,,,,,,,
,"Factor Cakupan , k=student's for v eff and CL 95 %",,,,,,,,,,,,,,,,,,,,,,,,,,,1.9725950790996611,,,,,,,,,,,,
,"Ketidakpastian Bentangan  , U = k Uc",,,,,,,,,,,,,,,,,,,,,,,,,,,4.076675286051021,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CMC Laboratory,5,,,,Rpm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty sertifikat,5,,,,Rpm,,,,,,,,
