,"Set Point
(oC)",15,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
,8,,34.9,,34.9,35,35,35,34.96,,0.76,25,-0.7000000000000455,-0.03374999999999999,,8,34.166249999999955,34.166249999999955,34.26624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.166249999999955,0.10000000000000142,34.22624999999996,,8,0,0,0.10000000000000142,0.10000000000000142,0.10000000000000142,,,,,,,,,,,,
,9,,34.7,,34.7,34.8,34.8,34.8,34.760000000000005,,0.76,25,-0.7000000000000455,-0.03374999999999999,,9,33.96624999999996,33.96624999999996,34.066249999999954,34.066249999999954,34.066249999999954,34.066249999999954,33.96624999999996,0.09999999999999432,34.02624999999996,,9,-0.19999999999999574,-0.19999999999999574,-0.10000000000000142,-0.10000000000000142,-0.10000000000000142,,,,,,,,,,,,
,10,,35,,35,35,35,34.9,34.980000000000004,,0.76,25,-0.7000000000000455,-0.03374999999999999,,10,34.26624999999996,34.26624999999996,34.26624999999996,34.26624999999996,34.166249999999955,34.26624999999996,34.166249999999955,0.10000000000000142,34.24624999999996,,10,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0,,,,,,,,,,,,
,11,,35.1,,35.1,35.2,35.2,35.2,35.160000000000004,,0.76,25,-0.7000000000000455,-0.03374999999999999,,11,34.36624999999996,34.36624999999996,34.46624999999996,34.46624999999996,34.46624999999996,34.46624999999996,34.36624999999996,0.10000000000000142,34.42624999999996,,11,0.20000000000000284,0.20000000000000284,0.30000000000000426,0.30000000000000426,0.30000000000000426,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,35,,35,35,35,35,35,MAX,0.76,25,,,,T Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,25.5,25.5,25.5,,,,,,,,T Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,Minimum,-0.3999999999999986,the absolut value,0.3999999999999986,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.5,,25.4,0.10000000000000142,25.45,,,,,,,,Suhu Indikator Enclosure (IE)   :,,35,Rata-rata pembacaan Indikator ,,,,,,,,,Maximum,0.30000000000000426,,,,,,,,,,,,,,,,
,STDEV Indikator (oC),,0,,,,,,,,,,,,Stabilitas Suhu (SS) :,,0.05000000000000071,1/2*Max(ΔT),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Keseragaman Suhu (KS) :,,0.3999999999999986,Abs (Max Deviasi),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Variasi Keseluruhan (VK) :,,0.7000000000000028,(Tmax)Max-(Tmin)Min,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Suhu Ruang  :,,25.45,Nilai Tengah Suhu Ruang,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) SP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",75,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
,No. Termocouple,,1,,2,3,4,5,,,,,Koreksi STD Meter,Koreksi STD Sensor,,,1,2,3,4,5,,,,,,,1,2,3,4,5,,,,,,,,,,,,
,3,,74.6,,74.7,74.8,74.8,74.8,74.74000000000001,,0.76,50,-0.02499999999999858,0.0325,,3,74.60749999999999,74.70750000000001,74.8075,74.8075,74.8075,74.8075,74.60749999999999,0.20000000000001705,74.7475,,3,Sensor Acuan,,,,,,,,,,,,,,,,
,4,,74.5,,74.7,74.9,74.9,74.9,74.78,,0.76,50,-0.02499999999999858,0.0325,,4,74.5075,74.70750000000001,74.9075,74.9075,74.9075,74.9075,74.5075,0.4000000000000057,74.7875,,4,-0.09999999999999432,0,0.09999999999999432,0.09999999999999432,0.09999999999999432,,,,,,,,,,,,
,5,,75,,75,75.1,75.1,75,75.03999999999999,,0.76,100,-0.09999999999999432,0.16499999999999998,,5,75.06500000000001,75.06500000000001,75.165,75.165,75.06500000000001,75.165,75.06500000000001,0.09999999999999432,75.105,,5,0.45750000000002444,0.3575000000000017,0.3575000000000017,0.3575000000000017,0.2575000000000074,,,,,,,,,,,,
,6,,74.8,,74.8,74.9,74.9,74.9,74.85999999999999,,0.76,50,-0.02499999999999858,0.0325,,6,74.8075,74.8075,74.9075,74.9075,74.9075,74.9075,74.8075,0.09999999999999432,74.86749999999999,,6,0.20000000000001705,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432,,,,,,,,,,,,
,7,,74.7,,74.7,74.8,74.8,74.8,74.76,,0.76,50,-0.02499999999999858,0.0325,,7,74.70750000000001,74.70750000000001,74.8075,74.8075,74.8075,74.8075,74.70750000000001,0.09999999999999432,74.76750000000001,,7,0.10000000000002274,0,0,0,0,,,,,,,,,,,,
,8,,75.1,,75.1,75.1,75.1,75.1,75.1,,0.76,100,-0.09999999999999432,0.16499999999999998,,8,75.165,75.165,75.165,75.165,75.165,75.165,75.165,0,75.165,,8,0.5575000000000188,0.457499999999996,0.3575000000000017,0.3575000000000017,0.3575000000000017,,,,,,,,,,,,
,9,,74.6,,74.6,74.6,74.6,74.7,74.61999999999999,,0.76,50,-0.02499999999999858,0.0325,,9,74.60749999999999,74.60749999999999,74.60749999999999,74.60749999999999,74.70750000000001,74.70750000000001,74.60749999999999,0.10000000000002274,74.62749999999998,,9,0,-0.10000000000002274,-0.20000000000001705,-0.20000000000001705,-0.09999999999999432,,,,,,,,,,,,
,10,,75,,75,75,75,75,75,,0.76,50,-0.02499999999999858,0.0325,,10,75.0075,75.0075,75.0075,75.0075,75.0075,75.0075,75.0075,0,75.0075,,10,0.4000000000000057,0.29999999999998295,0.19999999999998863,0.19999999999998863,0.19999999999998863,,,,,,,,,,,,
,11,,74.9,,75,75,75,75.1,75,,0.76,50,-0.02499999999999858,0.0325,,11,74.9075,75.0075,75.0075,75.0075,75.10749999999999,75.10749999999999,74.9075,0.19999999999998863,75.00749999999998,,11,0.30000000000001137,0.29999999999998295,0.19999999999998863,0.19999999999998863,0.29999999999998295,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,75,,75,75,75,75,75,MAX,0.76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,25.5,25.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,Minimum,-0.20000000000001705,the absolut value,0.20000000000001705,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.5,,25.4,0.10000000000000142,25.45,,,,,,,,Suhu Indikator Enclosure (IE)   :,,75,Rata-rata pembacaan Indikator ,,,,,,,,,Maximum,0.5575000000000188,,,,,,,,,,,,,,,,
,STDEV Indikator (oC),,0,,,,,,,,,,,,Stabilitas Suhu (SS) :,,0.20000000000000284,1/2*Max(ΔT),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Keseragaman Suhu (KS) :,,0.5575000000000188,Abs (Max Deviasi),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Variasi Keseluruhan (VK) :,,0.6575000000000131,(Tmax)Max-(Tmin)Min,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Suhu Ruang  :,,25.45,Nilai Tengah Suhu Ruang,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) SP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",100,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
,No. Termocouple,,1,,2,3,4,5,,,,,Koreksi STD Meter,Koreksi STD Sensor,,,1,2,3,4,5,,,,,,,1,2,3,4,5,,,,,,,,,,,,
,3,,99.7,,99.6,99.8,99.8,99.8,99.74000000000001,,0.76,100,-0.09999999999999432,0.16499999999999998,,3,99.76500000000001,99.665,99.86500000000001,99.86500000000001,99.86500000000001,99.86500000000001,99.665,0.20000000000000284,99.805,,3,Sensor Acuan,,,,,,,,,,,,,,,,
,4,,99.8,,99.6,99.7,99.7,99.7,99.69999999999999,,0.76,100,-0.09999999999999432,0.16499999999999998,,4,99.86500000000001,99.665,99.76500000000001,99.76500000000001,99.76500000000001,99.86500000000001,99.665,0.20000000000000284,99.76500000000001,,4,0.09999999999999432,0,-0.09999999999999432,-0.09999999999999432,-0.09999999999999432,,,,,,,,,,,,
,5,,100.24,,100.1,100.1,100.1,100.24,100.15599999999999,,0.76,100,-0.09999999999999432,0.16499999999999998,,5,100.305,100.165,100.165,100.165,100.305,100.305,100.165,0.14000000000000057,100.22100000000002,,5,0.539999999999992,0.5,0.29999999999999716,0.29999999999999716,0.4399999999999977,,,,,,,,,,,,
,6,,100.05,,100.08,100.11,100.11,100.12,100.09400000000001,,0.76,100,-0.09999999999999432,0.16499999999999998,,6,100.11500000000001,100.14500000000001,100.17500000000001,100.17500000000001,100.18500000000002,100.18500000000002,100.11500000000001,0.07000000000000739,100.15900000000002,,6,0.3499999999999943,0.480000000000004,0.3100000000000023,0.3100000000000023,0.3200000000000074,,,,,,,,,,,,
,7,,99.8,,99.9,99.8,99.8,99.9,99.84,,0.76,100,-0.09999999999999432,0.16499999999999998,,7,99.86500000000001,99.96500000000002,99.86500000000001,99.86500000000001,99.96500000000002,99.96500000000002,99.86500000000001,0.10000000000000853,99.90500000000002,,7,0.09999999999999432,0.30000000000001137,0,0,0.10000000000000853,,,,,,,,,,,,
,8,,99.5,,99.5,99.6,99.6,99.7,99.58000000000001,,0.76,100,-0.09999999999999432,0.16499999999999998,,8,99.56500000000001,99.56500000000001,99.665,99.665,99.76500000000001,99.76500000000001,99.56500000000001,0.20000000000000284,99.64500000000001,,8,-0.20000000000000284,-0.09999999999999432,-0.20000000000000284,-0.20000000000000284,-0.09999999999999432,,,,,,,,,,,,
,9,,99.7,,99.7,99.7,99.7,99.8,99.72,,0.76,100,-0.09999999999999432,0.16499999999999998,,9,99.76500000000001,99.76500000000001,99.76500000000001,99.76500000000001,99.86500000000001,99.86500000000001,99.76500000000001,0.09999999999999432,99.78500000000001,,9,0,0.10000000000000853,-0.09999999999999432,-0.09999999999999432,0,,,,,,,,,,,,
,10,,100,,100.02,100.02,100.02,100.03,100.01799999999999,,0.76,100,-0.09999999999999432,0.16499999999999998,,10,100.06500000000001,100.08500000000001,100.08500000000001,100.08500000000001,100.09500000000001,100.09500000000001,100.06500000000001,0.030000000000001137,100.08300000000001,,10,0.29999999999999716,0.4200000000000017,0.21999999999999886,0.21999999999999886,0.23000000000000398,,,,,,,,,,,,
,11,,100.03,,100.03,100.03,100.03,100.05,100.034,,0.76,100,-0.09999999999999432,0.16499999999999998,,11,100.09500000000001,100.09500000000001,100.09500000000001,100.09500000000001,100.11500000000001,100.11500000000001,100.09500000000001,0.01999999999999602,100.09900000000002,,11,0.3299999999999983,0.4300000000000068,0.23000000000000398,0.23000000000000398,0.25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indikator (oC),,100,,100,100,100,100,100,MAX,0.76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.4,,25.4,25.5,25.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAX,,MIN,Δt,Nilai Tengah,,,,,,,,,,,,,,,,,,,,Minimum,-0.20000000000000284,the absolut value,0.20000000000000284,,,,,,,,,,,,,,
,Suhu Ruang (oC),,25.5,,25.4,0.10000000000000142,25.45,,,,,,,,Suhu Indikator Enclosure (IE)   :,,100,Rata-rata pembacaan Indikator ,,,,,,,,,Maximum,0.539999999999992,,,,,,,,,,,,,,,,
,STDEV Indikator (oC),,0,,,,,,,,,,,,Stabilitas Suhu (SS) :,,0.10000000000000142,1/2*Max(ΔT),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Keseragaman Suhu (KS) :,,0.539999999999992,Abs (Max Deviasi),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Variasi Keseluruhan (VK) :,,0.7399999999999949,(Tmax)Max-(Tmin)Min,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Suhu Ruang  :,,25.45,Nilai Tengah Suhu Ruang,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC) SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,STD Meter :,Yokogawa,STD Sensor :,Thermocouple Type N,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Set Point
(oC)",0,Data Hasil Pengukuran/Pengulangan (oC),,,,,,AVERAGE,,U95% Sensor,Index,Faktor Koreksi (FC),,,No. Thermocouple,Standar Terkoreksi (oC),,,,,T Max,T Min,ΔT,"AVG
Terkoreksi",,No. Thermocouple,Deviasi Pengulangan Pengukuran (oC),,,,,,,,,,,,,,,,
