STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,100,0.5,0.64,0.82,,0.16,0.59,0.58,,,,100,0.72,0.34,0.24,,,,,0.26,,,,,,,,,,,,
,200,0.5,0.64,0.82,,0.16,0.59,0.58,,,,200,0.72,0.34,0.29,,,,,0.26,,,,,,,,,,,,
,300,0.5,0.64,0.82,,0.16,0.59,0.58,,,,300,0.72,0.34,0.29,,,,,0.26,,,,,,,,,,,,
,400,0.5,0.64,0.82,,0.16,0.59,0.58,,,,400,0.72,0.31,0.29,,,,,0.26,,,,,,,,,,,,
,500,0.5,0.64,0.82,,,0.59,0.58,,,,500,0.72,0.31,0.29,,,,,0.26,,,,,,,,,,,,
,600,0.5,0.64,0.82,1,,0.59,0.58,,,,600,0.72,0.31,0.29,,,,,0.27,,,,,,,,,,,,
,700,0.5,0.64,0.82,1,,0.59,0.58,,,,700,0.72,0.31,0.29,,,,,0.27,,,,,,,,,,,,
,800,0.5,0.64,0.82,1,,0.59,0.58,,,,800,0.72,0.31,0.29,,,,,0.26,,,,,,,,,,,,
,900,,0.64,0.82,1,,0.59,0.58,,,,900,,0.31,0.29,,,,,0.26,,,,,,,,,,,,
,1000,,0.64,0.82,1,,0.59,0.58,,,,1000,,0.31,0.29,,,,,0.26,,,,,,,,,,,,
,1200,,0,0,1,,0.59,0.58,,,,1200,,0.31,0.29,,,,,0.27,,,,,,,,,,,,
,1400,,,,1,,,0,,,,1400,,,,,,,,,,,,,,,,,,,,
,1700,,,,1,,,0,,,,1700,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDAR SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14T00:00:00,,,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2024-09-06T00:00:00,,,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2024-09-06T00:00:00,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15T00:00:00,,,Type,:,Type K,,,Due Date Kalibrasi,,:,2026-09-07T00:00:00,,,Type,:,Type N,,,Due Date Kalibrasi,,:,2026-09-07T00:00:00,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,S/N,:,KJ25-01 ~ 16,,,Tertelusur,,:,LK-064-IDN,,,S/N,:,3~12,,,Tertelusur,,:,LK-064-IDN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABEL KOREKSI SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRT PT100,Type K,,,,,,,,,,,,,,,,Type N,,,,,,,,,,,No,,
,,,TCK-01,TCK-02,TCK-03,TCK-04,TCK-05,TCK-06,TCK-07,TCK-08,TCK-09,TCK-10,TCK-11,TCK-12,TCK-13,TCK-14,TCK-15,TCK-16,TCN3,TCN4,TCN5,TCN6,TCN7,TCN8,TCN9,TCN10,TCN11,TCN12,,1,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,2,,
,-20,0.00342684530068027,,,,,,,,,,,,,,,,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,,3,,
,0,0,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,0,0,0,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,,4,,
,25,2.9007059112018396e-05,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,,5,,
,50,5.956705609122537e-05,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0,0,0,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,,6,,
,100,0.00012287023109536221,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0,0,0,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,,7,,
,150,0.00018473432362497988,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0,0,0,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,,8,,
,200,0.0002532953911043023,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0,0,0,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,,9,,
