STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,400,#REF!,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,,11,,
,500,,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.6081118318204308,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,,12,,
,600,,,,,,,,,,,,,,,,,,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,1.9899999999999998,,13,,
,700,,,,,,,,,,,,,,,,,,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,,14,,
,800,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,,15,,
,900,,,,,,,,,,,,,,,,,,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,,16,,
,1000,,,,,,,,,,,,,,,,,,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,,17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABEL U95% SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRT PT100,Type K,,,,,,,,,,,,,,,,Type N,,,,,,,,,,,,,
,,,KJ25-01,KJ25-02,KJ25-03,KJ25-04,KJ25-05,KJ25-06,KJ25-07,KJ25-08,KJ25-09,KJ25-10,KJ25-11,KJ25-12,KJ25-13,KJ25-14,KJ25-15,KJ25-16,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,
,-20,0.04,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,0,0.04,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,25,0.036,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,50,0.036,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,100,0.036,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,150,0.036,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,200,0.036,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,300,0.08,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,400,0.08,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,500,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,600,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,700,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,800,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,900,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,1000,,,,,,,,,,,,,,,,,,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,2.0549999999999997,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
