,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2022-09-19T00:00:00,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2024-09-19T00:00:00,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,0.003878,,,A,0.003501,,,
A,0.003878,,,,,,,B,-2.1e-05,,,
B,-5.861e-07,,,,,,,C,5e-09,,,
,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C)
195,173.935698,100.28703,1.7343787925517387,-0.7343787925517387,-1.721677641258296e-06,1.5038883999999999e-05,1.3317206358741702e-05,0.003649274771614451,-0.00022872522838554912,-1.1722e-06,195.12474695917857,-0.12474695917856593
200,175.766301,100.28703,1.7526324291386433,-0.7526324291386433,-1.7644714668726352e-06,1.5038883999999999e-05,1.3274412533127364e-05,0.003643406720794065,-0.0002345932792059348,-1.1722e-06,200.13076199107218,-0.1307619910721769
205,177.594012,100.28703,1.7708572284970447,-0.7708572284970447,-1.8071976864884717e-06,1.5038883999999999e-05,1.3231686313511528e-05,0.0036375384964989067,-0.00024046150350109322,-1.1722e-06,205.13692501372907,-0.13692501372906918
210,179.418833,100.28703,1.789053210569702,-0.7890532105697019,-1.8498563468596092e-06,1.5038883999999999e-05,1.318902765314039e-05,0.003631670091451093,-0.0002463299085489071,-1.1722e-06,210.14324223588733,-0.1432422358873282
215,181.240762,100.28703,1.8072203554138555,-0.8072203554138555,-1.8924474012322429e-06,1.5038883999999999e-05,1.3146436598767757e-05,0.0036258015112203474,-0.0002521984887796525,-1.1722e-06,215.14970890603354,-0.14970890603353837
220,183.0598,100.28703,1.8253586730008855,-0.8253586730008855,-1.934970872983276e-06,1.5038883999999999e-05,1.3103913127016723e-05,0.0036199327517257448,-0.00025806724827425517,-1.1722e-06,220.1563285055922,-0.15632850559219946
225,184.875946,100.28703,1.8434681533594124,-0.8434681533594124,-1.977426738735806e-06,1.5038883999999999e-05,1.3061457261264193e-05,0.0036140638153281403,-0.0002639361846718596,-1.1722e-06,225.16309902052518,-0.16309902052518055
230,186.689202,100.28703,1.8615488164321945,-0.8615488164321945,-2.0198150452436367e-06,1.5038883999999999e-05,1.3019068954756363e-05,0.0036081946946854688,-0.00026980530531453117,-1.1722e-06,230.1700267143245,-0.1700267143245071
235,188.499566,100.28703,1.8796006422764737,-0.8796006422764737,-2.062135745752965e-06,1.5038883999999999e-05,1.2976748254247034e-05,0.0036023253953865737,-0.0002756746046134262,-1.1722e-06,235.17710681916586,-0.17710681916585713
240,190.307039,100.28703,1.8976236408636291,-0.8976236408636291,-2.104388863640692e-06,1.5038883999999999e-05,1.2934495136359307e-05,0.00359645591330678,-0.00028154408669321977,-1.1722e-06,240.1843428537961,-0.18434285379609605
245,192.111621,100.28703,1.9156178121936607,-0.9156178121936607,-2.1465743989068182e-06,1.5038883999999999e-05,1.289230960109318e-05,0.00359058624754972,-0.00028741375245027985,-1.1722e-06,245.19173558290382,-0.1917355829038172
250,193.913311,100.28703,1.933583146295189,-0.9335831462951889,-2.188692328174441e-06,1.5038883999999999e-05,1.2850191671825557e-05,0.003584716400473761,-0.00029328359952623907,-1.1722e-06,250.1992829945735,-0.19928299457350818
255,195.712111,100.28703,1.9515196631109726,-0.9515196631109726,-2.230742698197364e-06,1.5038883999999999e-05,1.2808141301802636e-05,0.003578846364654766,-0.0002991536353452338,-1.1722e-06,255.20699142231175,-0.20699142231174505
260,197.508019,100.28703,1.9694273426982531,-0.9694273426982531,-2.2727254622217847e-06,1.5038883999999999e-05,1.2766158537778215e-05,0.003572976145705176,-0.00030502385429482387,-1.1722e-06,260.214856078164,-0.21485607816401853
265,199.301035,100.28703,1.9873061850570308,-0.9873061850570308,-2.314640620247703e-06,1.5038883999999999e-05,1.2724243379752296e-05,0.003567105742720882,-0.0003108942572791181,-1.1722e-06,265.2228777334227,-0.22287773342270611
270,201.091101,100.28703,2.005155611847315,-1.0051556118473148,-2.356486816414845e-06,1.5038883999999999e-05,1.2682397183585154e-05,0.003561235345155548,-0.00031676465484445186,-1.1722e-06,270.2308947657839,-0.23089476578388712
275,202.878395,100.28703,2.0229773979745937,-1.0229773979745937,-2.3982682118116375e-06,1.5038883999999999e-05,1.2640615788188362e-05,0.0035553643678515375,-0.0003226356321484624,-1.1722e-06,275.23940637132097,-0.23940637132096754
280,204.662739,100.28703,2.0407697685333783,-1.0407697685333783,-2.439980645349652e-06,1.5038883999999999e-05,1.2598903354650348e-05,0.003549493394084619,-0.0003285066059153809,-1.1722e-06,280.2479149593763,-0.2479149593763168
285,206.44419,100.28703,2.0585332918922816,-1.0585332918922816,-2.481625449512265e-06,1.5038883999999999e-05,1.2557258550487733e-05,0.00354362223586089,-0.0003343777641391099,-1.1722e-06,285.2565809069356,-0.25658090693559643
290,208.222751,100.28703,2.0762679979654397,-1.0762679979654397,-2.5232026944301768e-06,1.5038883999999999e-05,1.2515681305569822e-05,0.0035377508823502286,-0.00034024911764977137,-1.1722e-06,290.2654134531406,-0.2654134531405816
295,209.998421,100.28703,2.093973876781474,-1.0939738767814742,-2.564712356726488e-06,1.5038883999999999e-05,1.247417164327351e-05,0.0035318793358881206,-0.0003461206641118793,-1.1722e-06,295.27441060559573,-0.27441060559573316
300,211.771199,100.28703,2.1116509183690053,-1.1116509183690053,-2.606154413024296e-06,1.5038883999999999e-05,1.2432729586975702e-05,0.0035260075988255758,-0.00035199240117442417,-1.1722e-06,300.2835703586625,-0.28357035866247315
305,213.541086,100.28703,2.129299132699413,-1.1292991326994128,-2.6475288867005035e-06,1.5038883999999999e-05,1.2391355113299495e-05,0.0035201356668883507,-0.0003578643331116492,-1.1722e-06,305.29289635868383,-0.29289635868383357
310,215.308082,100.28703,2.1469185197726963,-1.1469185197726963,-2.688835777755109e-06,1.5038883999999999e-05,1.235004822224489e-05,0.003514263539099606,-0.0003637364609003937,-1.1722e-06,310.30238943899826,-0.30238943899826154
315,217.072186,100.28703,2.164509069617477,-1.164509069617477,-2.7300750628112126e-06,1.5038883999999999e-05,1.2308808937188786e-05,0.003508391217807499,-0.0003696087821925009,-1.1722e-06,315.3120475964007,-0.3120475964007028
320,218.83339900000001,100.28703,2.182070792205134,-1.182070792205134,-2.7712467652457157e-06,1.5038883999999999e-05,1.2267637234754282e-05,0.0035025186987015905,-0.0003754813012984094,-1.1722e-06,320.32187450811244,-0.3218745081124439
325,220.591722,100.28703,2.1996036975070457,-1.1996036975070457,-2.812350908435518e-06,1.5038883999999999e-05,1.2226533091564481e-05,0.003496645977442452,-0.0003813540225575478,-1.1722e-06,325.33187387608587,-0.33187387608586505
330,222.347152,100.28703,2.2171077556090752,-1.2171077556090752,-2.8533874222499158e-06,1.5038883999999999e-05,1.2185496577750083e-05,0.0034907730630549566,-0.0003872269369450433,-1.1722e-06,330.3420380012313,-0.3420380012312876
335,224.099692,100.28703,2.2345829964253605,-1.2345829964253605,-2.8943563768196153e-06,1.5038883999999999e-05,1.2144527623180384e-05,0.003484899944500614,-0.00039310005549938586,-1.1722e-06,335.3523763004486,-0.35237630044861135
340,225.84934,100.28703,2.2520294000131424,-1.2520294000131424,-2.935257725390811e-06,1.5038883999999999e-05,1.2103626274609188e-05,0.0034790266274648124,-0.00039897337253518754,-1.1722e-06,340.3628839235519,-0.36288392355191945
345,227.596098,100.28703,2.2694469863151796,-1.2694469863151796,-2.976091514717307e-06,1.5038883999999999e-05,1.2062792485282693e-05,0.003473153104209875,-0.00040484689579012474,-1.1722e-06,345.3735674715277,-0.37356747152767866
350,229.339964,100.28703,2.286835735388714,-1.2868357353887139,-3.016857698045301e-06,1.5038883999999999e-05,1.2022026301954698e-05,0.00346727938042995,-0.00041072061957005005,-1.1722e-06,350.38442208671734,-0.38442208671733624
